date,open,high,low,close,volume,average,barCount
2024-09-19,5604.0,5638.0,5546.0,5593.0,525.0,5602.2,519
2024-09-20,5607.0,5654.0,5549.0,5625.0,677.0,5607.5,671
2024-09-23,5588.0,5771.0,5578.0,5742.0,1264.0,5670.9,1263
2024-09-24,5742.0,5762.0,5656.0,5718.0,936.0,5712.3,930
2024-09-25,5671.0,5747.0,5657.0,5705.0,1310.0,5712.1,1307
2024-09-26,5749.0,6111.0,5746.0,5880.0,3164.0,5903.9,3136
2024-09-27,5830.0,5944.0,5771.0,5916.0,1386.0,5859.1,1375
2024-09-30,5918.0,5946.0,5688.0,5700.0,1686.0,5763.5,1677
2024-10-01,5746.0,5858.0,5436.0,5455.0,2229.0,5632.3,2222
2024-10-02,5475.0,5610.0,5379.0,5411.0,2393.0,5517.0,2368
2024-10-03,5411.0,5608.0,5381.0,5454.0,1700.0,5432.1,1694
2024-10-04,5519.0,5562.0,5385.0,5525.0,1646.0,5460.1,1636
2024-10-07,5439.0,5530.0,5397.0,5419.0,809.0,5470.1,803
2024-10-08,5516.0,5624.0,5455.0,5541.0,778.0,5549.7,777
2024-10-09,5589.0,5852.0,5587.0,5808.0,1164.0,5737.2,1151
2024-10-10,5831.0,5988.0,5704.0,5958.0,1217.0,5821.9,1207
2024-10-11,6009.0,6254.0,6003.0,6200.0,1141.0,6156.8,1139
2024-10-14,6213.0,6333.0,6147.0,6271.0,766.0,6262.1,763
2024-10-15,6315.0,6520.0,6220.0,6428.0,834.0,6373.7,822
2024-10-16,6548.0,6648.0,6292.0,6365.0,881.0,6489.8,873
2024-10-17,6347.0,6509.0,6212.0,6354.0,1182.0,6304.8,1170
2024-10-18,6378.0,6465.0,6106.0,6125.0,551.0,6194.1,546
2024-10-21,6103.0,6290.0,6062.0,6112.0,553.0,6147.0,547
2024-10-22,6112.0,6112.0,5846.0,5959.0,1054.0,5951.6,1038
2024-10-23,5905.0,6050.0,5837.0,5883.0,1202.0,5894.0,1182
2024-10-24,5877.0,5896.0,5687.0,5718.0,1524.0,5768.2,1522
2024-10-25,5715.0,5814.0,5520.0,5782.0,1367.0,5713.0,1364
2024-10-28,5744.0,5957.0,5732.0,5944.0,872.0,5856.9,867
2024-10-29,5944.0,6288.0,5926.0,6261.0,1828.0,6188.0,1719
2024-10-30,6220.0,6404.0,6135.0,6374.0,1067.0,6268.6,1055
2024-10-31,6373.0,6443.0,6202.0,6285.0,835.0,6318.2,830
2024-11-01,6248.0,6423.0,6235.0,6360.0,1133.0,6364.7,1113
